combination,speed,cm_total: mean,cm_total: std,rep_total: mean,rep_total: std,total num matches,num possible correct matches,total correct matches,Matching distance mAP,Matching average_response mAP,Matching distinctiveness mAP,Verification distance mAP,Verification average_response mAP,Verification distinctiveness mAP,Retrieval distance mAP,Retrieval average_response mAP,Retrieval distinctiveness mAP
AGAST+ORB,0,119.47931034482758,129.68817211192112,0.23895862068965518,0.2593763442238422,0,69298,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16433783937107344,0.09887369234055277,0.22174549025887316
AGAST+SIFT,0,120.44655172413793,130.55392163250644,0.24089310344827583,0.26110784326501285,0,69859,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5733463930977668,0.5118380501075033,0.5757827157134725
AGAST+BRIEF,0,119.52931034482759,129.82616030494154,0.23905862068965517,0.2596523206098831,0,69327,0,0.0,0.0,0.0,0.0,0.0,0.0,0.20533238481937685,0.07304240532977706,0.20090481236808336
AGAST+DAISY,0,120.44655172413793,130.55392163250644,0.24089310344827583,0.26110784326501285,0,69859,0,0.0,0.0,0.0,0.0,0.0,0.0,0.52915428035865,0.49877328633396106,0.5708907386084306
AKAZE+AKAZE,0,113.87413793103448,132.5155020994549,0.250234822905549,0.28782534842921664,0,66047,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5255914763223382,0.4232167488089693,0.529354021578805
AKAZE+ORB,0,113.75344827586207,132.4337813914057,0.250159068496846,0.2877736507539602,0,65977,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3723762596893722,0.16663432924560972,0.39987178185698863
AKAZE+SIFT,0,113.87413793103448,132.5155020994549,0.250234822905549,0.28782534842921664,0,66047,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5772253848503214,0.45586427993712025,0.5719643875164767
AKAZE+BRIEF,0,113.87413793103448,132.5155020994549,0.250234822905549,0.28782534842921664,0,66047,0,0.0,0.0,0.0,0.0,0.0,0.0,0.49994100660340035,0.3091810115795541,0.4969063025553107
AKAZE+DAISY,0,113.87413793103448,132.5155020994549,0.250234822905549,0.28782534842921664,0,66047,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6042269235447859,0.5293137393367195,0.6142552121966702
FAST+ORB,0,117.40517241379311,129.04300128307108,0.23481034482758614,0.2580860025661422,0,68095,0,0.0,0.0,0.0,0.0,0.0,0.0,0.18368694203566596,0.10467565017230636,0.2358794347342103
FAST+SIFT,0,118.35,129.74688854152495,0.2367,0.2594937770830499,0,68643,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5753202895266244,0.5045613906980522,0.5754327024075627
FAST+BRIEF,0,117.45689655172414,129.043630167941,0.23491379310344832,0.25808726033588203,0,68125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.20478962268691664,0.06250153468205094,0.1975265642694807
FAST+DAISY,0,118.35,129.74688854152495,0.2367,0.2594937770830499,0,68643,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5294234645098179,0.48990925014565423,0.5685306624137578
GFTT+ORB,0,93.47241379310344,121.36195903605939,0.18694482758620692,0.24272391807211877,0,54214,0,0.0,0.0,0.0,0.0,0.0,0.0,0.22729733032436664,0.18756746094436905,0.25930582759086884
GFTT+SIFT,0,93.64827586206897,121.32855257292547,0.18729655172413795,0.24265710514585093,0,54316,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5472650119686481,0.5047562574217108,0.5344313910016704
GFTT+BRIEF,0,93.48793103448276,121.35913442964433,0.18697586206896555,0.24271826885928868,0,54223,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2042684047301585,0.14047001630544811,0.19290372672806022
GFTT+DAISY,0,93.64827586206897,121.32855257292547,0.18729655172413795,0.24265710514585093,0,54316,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333111715451957,0.4995951330327605,0.5591401111904455
KAZE+KAZE,0,113.66206896551724,128.09885572126979,0.2380297453573885,0.2668348632230189,0,65924,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5426362900926304,0.4086368080405326,0.5418076696355028
KAZE+ORB,0,109.81551724137931,125.78178463283989,0.23358969219891973,0.2666472437851468,0,63693,0,0.0,0.0,0.0,0.0,0.0,0.0,0.23009050370991344,0.08765151463969485,0.28791136972717496
KAZE+SIFT,0,113.66206896551724,128.09885572126979,0.2380297453573885,0.2668348632230189,0,65924,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5973153835097152,0.5200829821518428,0.596665702765491
KAZE+BRIEF,0,110.22413793103448,125.9856783189987,0.23389310911897276,0.2664471763657858,0,63930,0,0.0,0.0,0.0,0.0,0.0,0.0,0.20390504407994692,0.060868328494784706,0.1989424148127223
KAZE+DAISY,0,113.66206896551724,128.09885572126979,0.2380297453573885,0.2668348632230189,0,65924,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5803919806002089,0.5191229903655414,0.6044565238904662
MSER+ORB,0,71.15344827586208,68.68979926155086,0.185084014223552,0.17354334728879048,0,41269,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1558571719910214,0.04432914296355498,0.18137214696844547
MSER+SIFT,0,80.55344827586207,76.22943298770255,0.19507293201839895,0.1835420022418603,0,46721,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6698917408160115,0.522467318163,0.6875022038206384
MSER+BRIEF,0,72.02931034482759,69.36659861181498,0.18553949167063094,0.17377889364904991,0,41777,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09938582951833737,0.02111632878181025,0.11499811686532006
MSER+DAISY,0,80.57586206896552,76.32152566235328,0.19517802934749048,0.18376236984616973,0,46734,0,0.0,0.0,0.0,0.0,0.0,0.0,0.46222197710677126,0.3770901953185245,0.5466735888778086
ORB+ORB,0,161.80689655172415,139.9298862140817,0.32418435013262603,0.28063683247373367,0,93848,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4522176440515331,0.2056275302317762,0.46867191306085904
ORB+SIFT,0,161.80689655172415,139.9298862140817,0.32418435013262603,0.28063683247373367,0,93848,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5411189993650656,0.3293252395470888,0.5972649155919674
ORB+BRIEF,0,161.80689655172415,139.9298862140817,0.32418435013262603,0.28063683247373367,0,93848,0,0.0,0.0,0.0,0.0,0.0,0.0,0.38390692263383425,0.13882768485843103,0.3719393000553097
ORB+DAISY,0,161.80689655172415,139.9298862140817,0.32418435013262603,0.28063683247373367,0,93848,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5707023774484841,0.4109852470352201,0.5824972293731634
SIFT+SIFT,0,72.02758620689656,98.45572747932924,0.14594172204587555,0.19861327239856127,0,41776,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5603517837351577,0.425199771432768,0.5540190105458431
SIFT+BRIEF,0,71.39655172413794,97.61346000586339,0.14550588357417482,0.19860970796803168,0,41410,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1933045095796175,0.06907516185160303,0.18907029744982326
SIFT+DAISY,0,72.02758620689656,98.45572747932924,0.14594172204587555,0.19861327239856127,0,41776,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6420412892290033,0.5709567130902298,0.629774952132179
